user_id,signup_date,plan_type,channel
1,2023-02-10,free,referral
2,2023-01-08,premium,doctor
3,2023-01-02,premium,referral
4,2023-02-17,free,doctor
5,2023-01-18,free,doctor
6,2023-01-16,free,referral
7,2023-01-15,free,ads
8,2023-01-09,premium,doctor
9,2023-02-17,free,referral
10,2023-01-07,premium,organic
11,2023-02-13,free,referral
12,2023-02-17,premium,organic
13,2023-02-27,premium,doctor
14,2023-02-04,free,referral
15,2023-01-06,free,referral
16,2023-02-07,free,organic
17,2023-01-28,free,referral
18,2023-01-03,free,referral
19,2023-01-02,free,doctor
20,2023-01-06,free,referral
21,2023-01-14,free,ads
22,2023-01-15,free,organic
23,2023-02-02,free,referral
24,2023-02-08,free,organic
25,2023-01-02,free,organic
26,2023-02-05,premium,organic
27,2023-01-13,free,referral
28,2023-02-15,free,referral
29,2023-02-11,free,organic
30,2023-02-14,free,ads
31,2023-02-04,free,organic
32,2023-01-27,free,ads
33,2023-01-15,free,organic
34,2023-01-29,premium,doctor
35,2023-02-07,premium,organic
36,2023-01-18,premium,organic
37,2023-02-21,free,referral
38,2023-02-25,free,ads
39,2023-01-01,free,doctor
40,2023-02-18,free,ads
41,2023-02-21,free,doctor
42,2023-01-11,free,organic
43,2023-02-14,free,referral
44,2023-01-28,premium,referral
45,2023-01-22,free,ads
46,2023-01-18,free,referral
47,2023-01-10,free,ads
48,2023-01-14,free,ads
49,2023-02-18,free,doctor
50,2023-01-22,free,ads
51,2023-01-07,premium,doctor
52,2023-01-06,premium,referral
53,2023-01-25,premium,ads
54,2023-01-07,premium,ads
55,2023-01-23,free,organic
56,2023-02-24,premium,ads
57,2023-01-23,free,ads
58,2023-02-08,free,organic
59,2023-01-17,free,organic
60,2023-02-21,free,referral
61,2023-01-03,free,ads
62,2023-02-16,free,referral
63,2023-01-30,premium,referral
64,2023-02-04,free,organic
65,2023-01-08,free,doctor
66,2023-03-01,free,referral
67,2023-01-25,free,doctor
68,2023-01-06,premium,ads
69,2023-02-05,free,organic
70,2023-01-19,premium,ads
71,2023-02-23,premium,ads
72,2023-02-10,free,organic
73,2023-02-09,free,ads
74,2023-02-26,premium,organic
75,2023-02-25,premium,doctor
76,2023-01-24,premium,ads
77,2023-02-06,premium,organic
78,2023-01-13,free,referral
79,2023-02-15,free,ads
80,2023-01-05,free,doctor
81,2023-01-03,premium,organic
82,2023-02-12,free,ads
83,2023-01-15,free,ads
84,2023-02-19,free,ads
85,2023-01-19,free,doctor
86,2023-01-06,free,organic
87,2023-02-24,premium,referral
88,2023-01-15,free,referral
89,2023-02-25,premium,referral
90,2023-01-07,free,organic
91,2023-01-25,free,referral
92,2023-01-18,premium,doctor
93,2023-01-30,premium,organic
94,2023-02-10,free,ads
95,2023-02-23,premium,doctor
96,2023-01-24,free,ads
97,2023-01-11,free,referral
98,2023-01-24,free,doctor
99,2023-01-23,free,organic
100,2023-01-14,free,doctor
101,2023-02-12,free,ads
102,2023-01-18,free,organic
103,2023-02-14,free,doctor
104,2023-03-01,free,doctor
105,2023-02-13,premium,doctor
106,2023-02-11,free,doctor
107,2023-01-05,free,organic
108,2023-02-08,premium,ads
109,2023-02-10,free,doctor
110,2023-01-11,free,organic
111,2023-02-04,free,ads
112,2023-02-16,free,doctor
113,2023-01-16,premium,ads
114,2023-01-11,premium,ads
115,2023-01-30,free,organic
116,2023-01-25,premium,ads
117,2023-01-18,premium,organic
118,2023-03-01,free,doctor
119,2023-02-10,premium,ads
120,2023-02-14,free,ads
121,2023-02-05,premium,referral
122,2023-01-15,premium,doctor
123,2023-02-13,free,doctor
124,2023-01-21,free,referral
125,2023-02-23,free,referral
126,2023-02-19,free,organic
127,2023-02-19,premium,organic
128,2023-01-04,premium,ads
129,2023-01-15,free,ads
130,2023-02-22,free,ads
131,2023-01-03,free,ads
132,2023-02-21,free,organic
133,2023-01-21,free,doctor
134,2023-01-26,free,ads
135,2023-01-18,premium,doctor
136,2023-01-05,free,ads
137,2023-01-14,free,referral
138,2023-02-28,premium,ads
139,2023-03-02,free,ads
140,2023-02-06,premium,ads
141,2023-02-26,premium,organic
142,2023-02-15,free,referral
143,2023-01-21,free,ads
144,2023-01-14,free,ads
145,2023-02-11,free,doctor
146,2023-02-01,free,referral
147,2023-01-26,free,ads
148,2023-02-26,free,doctor
149,2023-02-28,free,doctor
150,2023-02-11,free,organic
151,2023-01-30,premium,doctor
152,2023-01-10,free,ads
153,2023-01-17,free,organic
154,2023-01-09,free,organic
155,2023-01-16,premium,ads
156,2023-02-17,free,referral
157,2023-02-05,free,doctor
158,2023-02-04,premium,organic
159,2023-01-17,free,referral
160,2023-02-17,premium,ads
161,2023-02-07,free,doctor
162,2023-01-28,free,doctor
163,2023-02-27,free,organic
164,2023-02-07,free,doctor
165,2023-01-26,free,doctor
166,2023-01-24,premium,doctor
167,2023-01-15,free,doctor
168,2023-01-09,free,ads
169,2023-02-02,free,referral
170,2023-02-01,free,ads
171,2023-01-06,free,ads
172,2023-02-18,free,organic
173,2023-01-04,free,doctor
174,2023-02-25,free,ads
175,2023-01-08,free,doctor
176,2023-01-10,free,ads
177,2023-02-10,free,ads
178,2023-01-11,free,organic
179,2023-02-20,premium,referral
180,2023-02-13,free,referral
181,2023-01-28,free,ads
182,2023-02-08,free,organic
183,2023-01-05,premium,doctor
184,2023-01-25,premium,doctor
185,2023-01-25,free,ads
186,2023-02-08,free,referral
187,2023-01-30,premium,organic
188,2023-02-03,free,referral
189,2023-01-17,free,doctor
190,2023-02-05,free,referral
191,2023-02-25,free,doctor
192,2023-03-02,premium,organic
193,2023-01-01,premium,organic
194,2023-02-13,free,ads
195,2023-02-16,free,ads
196,2023-01-08,free,referral
197,2023-02-13,premium,organic
198,2023-02-26,premium,organic
199,2023-02-04,premium,ads
200,2023-02-18,premium,doctor
201,2023-01-18,free,referral
202,2023-02-19,free,referral
203,2023-02-11,free,ads
204,2023-01-22,premium,organic
205,2023-01-08,free,ads
206,2023-01-19,free,ads
207,2023-01-28,free,ads
208,2023-01-11,free,ads
209,2023-01-30,free,doctor
210,2023-01-01,free,doctor
211,2023-02-16,free,organic
212,2023-02-26,free,ads
213,2023-02-16,free,doctor
214,2023-01-17,free,organic
215,2023-02-02,premium,ads
216,2023-02-18,free,referral
217,2023-01-12,free,doctor
218,2023-02-02,premium,organic
219,2023-02-28,free,referral
220,2023-01-07,premium,ads
221,2023-02-25,free,ads
222,2023-02-10,free,ads
223,2023-01-20,free,doctor
224,2023-02-23,free,organic
225,2023-02-10,free,referral
226,2023-02-02,free,organic
227,2023-02-08,premium,doctor
228,2023-01-13,free,organic
229,2023-01-10,premium,doctor
230,2023-01-24,free,ads
231,2023-02-18,premium,referral
232,2023-01-11,free,ads
233,2023-02-04,free,organic
234,2023-02-19,free,ads
235,2023-03-01,free,referral
236,2023-02-03,premium,ads
237,2023-02-28,free,referral
238,2023-01-01,free,referral
239,2023-02-08,free,ads
240,2023-01-21,free,doctor
241,2023-02-01,premium,organic
242,2023-01-02,premium,doctor
243,2023-01-08,premium,doctor
244,2023-03-01,free,ads
245,2023-01-24,free,organic
246,2023-02-26,premium,organic
247,2023-02-23,free,doctor
248,2023-02-21,premium,ads
249,2023-01-20,premium,organic
250,2023-01-16,premium,doctor
251,2023-01-04,free,organic
252,2023-01-16,free,ads
253,2023-02-26,premium,ads
254,2023-02-06,free,ads
255,2023-03-02,free,organic
256,2023-01-06,free,referral
257,2023-01-06,premium,organic
258,2023-02-16,free,referral
259,2023-02-01,free,ads
